mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.162474537,0.061252292,0.698167276,0.047281099,ball_tree,5,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.845,0.82,0.825,0.82,0.85,0.832,0.012884099,10
0.168685102,0.053059826,0.644358349,0.072315228,ball_tree,5,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.845,0.83,0.84,0.84,0.845,0.84,0.005477226,7
0.148800564,0.028119899,0.594610548,0.043144206,ball_tree,5,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.865,0.825,0.865,0.84,0.855,0.85,0.015491933,4
0.127060223,0.036272239,0.547534657,0.063450834,ball_tree,5,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.86,0.845,0.875,0.86,0.875,0.863,0.011224972,1
0.130451775,0.018318146,0.611306858,0.098850957,ball_tree,50,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",0.705,0.735,0.71,0.69,0.745,0.717,0.020149442,22
0.161766768,0.031787596,0.691457987,0.09157388,ball_tree,50,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",0.725,0.76,0.74,0.73,0.78,0.747,0.020396078,19
0.124506617,0.016487535,0.524898911,0.064216627,ball_tree,50,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 2, 'weights': 'uniform'}",0.74,0.77,0.76,0.725,0.785,0.756,0.021307276,16
0.118386936,0.010224141,0.530800343,0.047690154,ball_tree,50,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}",0.75,0.785,0.77,0.74,0.805,0.77,0.023452079,13
0.134638739,0.020987411,0.583039093,0.055088354,ball_tree,200,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 200, 'p': 1, 'weights': 'uniform'}",0.5,0.495,0.495,0.49,0.48,0.492,0.00678233,34
0.115687752,0.015707193,0.615772963,0.198080319,ball_tree,200,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 200, 'p': 1, 'weights': 'distance'}",0.54,0.595,0.555,0.555,0.57,0.563,0.018601075,28
0.116687107,0.010151853,0.726742887,0.088444116,ball_tree,200,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 200, 'p': 2, 'weights': 'uniform'}",0.54,0.57,0.53,0.54,0.525,0.541,0.015620499,31
0.246053743,0.016641069,1.029330158,0.291806278,ball_tree,200,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 200, 'p': 2, 'weights': 'distance'}",0.57,0.62,0.565,0.57,0.615,0.588,0.024207437,25
0.20904994,0.10320148,0.985936499,0.247349284,kd_tree,5,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.845,0.82,0.825,0.82,0.85,0.832,0.012884099,10
0.17268815,0.028466358,0.595736217,0.102156195,kd_tree,5,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.845,0.83,0.84,0.84,0.845,0.84,0.005477226,7
0.181913137,0.026698369,0.641084957,0.107194329,kd_tree,5,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.865,0.825,0.865,0.84,0.855,0.85,0.015491933,4
0.185103607,0.04783114,0.728063583,0.151168777,kd_tree,5,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.86,0.845,0.875,0.86,0.875,0.863,0.011224972,1
0.177330685,0.048138347,0.60259037,0.117440414,kd_tree,50,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 50, 'p': 1, 'weights': 'uniform'}",0.705,0.735,0.71,0.69,0.745,0.717,0.020149442,22
0.153788567,0.017313178,0.56409049,0.041215727,kd_tree,50,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 50, 'p': 1, 'weights': 'distance'}",0.725,0.76,0.74,0.73,0.78,0.747,0.020396078,19
0.165358353,0.023672999,0.63390379,0.081403378,kd_tree,50,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 50, 'p': 2, 'weights': 'uniform'}",0.74,0.77,0.76,0.725,0.785,0.756,0.021307276,16
0.177722549,0.035561043,0.583838367,0.107359785,kd_tree,50,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 50, 'p': 2, 'weights': 'distance'}",0.75,0.785,0.77,0.74,0.805,0.77,0.023452079,13
0.197472239,0.043386747,0.67279973,0.10746403,kd_tree,200,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 200, 'p': 1, 'weights': 'uniform'}",0.5,0.495,0.495,0.49,0.48,0.492,0.00678233,34
0.160569286,0.044583758,0.559703875,0.055533496,kd_tree,200,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 200, 'p': 1, 'weights': 'distance'}",0.54,0.595,0.555,0.555,0.57,0.563,0.018601075,28
0.15777297,0.018619857,0.585434818,0.02442903,kd_tree,200,2,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 200, 'p': 2, 'weights': 'uniform'}",0.54,0.57,0.53,0.54,0.525,0.541,0.015620499,31
0.144016075,0.011691669,0.66003809,0.078974923,kd_tree,200,2,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 200, 'p': 2, 'weights': 'distance'}",0.57,0.62,0.565,0.57,0.615,0.588,0.024207437,25
0.040292215,0.010752085,1.137489176,0.079799089,brute,5,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.845,0.82,0.825,0.82,0.85,0.832,0.012884099,10
